q_num,question,marks,answer,workings,subject,grade,year,paper
1.1.1,Depreciation on equipment on 29 February 2024,2,127800,,Accounting,Grade 12,2024,P1
1.1.2,Cost price of vehicles on 29 February 2024,4,1330000,,Accounting,Grade 12,2024,P1
1.1.3,Depreciation on vehicles on 29 February 2024.,5,181360,,Accounting,Grade 12,2024,P1
1.1.4,Profit/Loss on vehicle traded in on 1 September 2023,5,16640,,Accounting,Grade 12,2024,P1
1.2,Statement of Comprehensive Income for the year ended 29 February 2024,0,1757700,,Accounting,Grade 12,2024,P1
2.1,RETAINED INCOME NOTE FOR THE YEAR ENDED 29 FEBRUARY 2024,8,1626410,,Accounting,Grade 12,2024,P1
2.2,CASH FLOW STATEMENT FOR THE YEAR ENDED 29 FEBRUARY 2024,0,64600,,Accounting,Grade 12,2024,P1
3.1,Profitability:,4,72,,Accounting,Grade 12,2024,P1
3.2,Dividends pay-out policy:,3,30,s Funds have been retained for future expansion purposes / shareholder will benefit in the future as funds have been set aside / protect the cash flow of the business.,Accounting,Grade 12,2024,P1
4.5,State THREE possible consequences for the independent external auditor if he was influenced by the directors of the company to deliberately provide the shareholders with an incorre,3,150,s Possible consequences for auditor as employee: • deregistered / struck off the roll by IRBA (Accounting body) / loss of professional license / revocation of his certificate. • Disciplinary hearing / suspended (during investigation) / fired by his e,Accounting,Grade 12,2024,P1
